j_nominativ,rod,j_genitiv,j_dativ,j_akuzativ,j_vokativ,j_lokativ,j_instrumental,m_nominativ,m_genitiv,m_dativ,m_akuzativ,m_vokativ,m_lokativ,m_instrumental
abdomen,muški,abdomena,abdomenu,abdomen,abdomen,abdomenu,abdomenom,abdomeni,abdomena,abdomenima,abdomena,abdomeni,abdomenima,abdomenima
abolicija,ženski,abolicije,aboliciji,aboliciju,abolicijo,aboliciji,abolicijom,abolicije,abolicija,abolicijama,abolicije,abolicije,abolicijama,abolicijama
abonent,muški,abonenta,abonentu,abonenta,abonente,abonentu,abonentom,abonenti,abonenata,abonentima,abonente,abonenti,abonentima,abonentima
abortus,muški,abortusa,abortusu,abortus,abortuse,abortusu,abortusom,abortusi,abortusa,abortusima,abortuse,abortusi,abortusima,abortusima
Afrikanka,ženski,Afrikanke,Afrikanki,Afrikanke,Afrikanko,Afrikanko,Afrikankom,Afrikanke,Afrikanki,Afrikankama,Afrikanke,Afrikanke,Afrikankama,Afrikankama
ada,ženski,ade,adi,adu,ado,adi,adom,ade,ada,adama,ade,ade,adama,adama
adamit,muški,adamita,adamitu,adamita,adamitu,adamitu,adamitom,adamiti,adamita,adamitima,adamite,adamiti,adamitima,adamitima
administracija,ženski,administracije,administraciji,administraciju,administracijo,administraciji,administracijom,administracije,administracija,administracijama,administracije,administracije,administracijama,administracijama
adresa,ženski,adrese,adresi,adresu,adreso,adresi,adresom,adrese,adresa,adresama,adrese,adrese,adresama,adresama
advokat,muški,advokata,advokatu,advokata,advokate,advokatu,advokatom,advokati,advokata,advokatima,advokate,advokati,advokatima,advokatima
aerodrom,muški,aerodroma,aerodromu,aerodrom,aerodrome,aerodromu,aerodromom,aerodromi,aerodroma,aerodromima,aerodrome,aerodromi,aerodromima,aerodromima
Afrikanac,muški,Afrikanca,Afrikancu,Afrikanca,Afrikanče,Afrikancu,Afrikancem,Afrikanci,Afrikanaca,Afrikancima,Afrikance,Afrikanci,Afrikancima,Afrikancima
agencija,ženski,agencije,agenciji,agenciju,agencijo,agenciji,agencijom,agencije,agencija,agencijama,agencije,agencije,agencijama,agencijama
agnosticizam,muški,agnosticizma,agnosticizmu,agnosticizma,agnosticizme,agnosticizmu,agnosticizmom,agnosticizmi,agnosticizama,agnosticizmima,agnosticizmi,agnosticizmi,agnosticizmima,agnosticizmima
agresija,ženski,agresije,agresiji,agresiju,agresijo,agresiji,agresijom,agresije,agresija,agresijama,agresije,agresije,agresijama,agresijama
agrikultura,ženski,agrikulture,agrikulturi,agrikulturu,agrikulturo,agrikulturi,agrikulturom,agrikulture,agrikultura,agrikulturama,agrikulture,agrikulture,agrikulturama,agrikulturama
akademija,ženski,akademije,akademiji,akademiju,akademijo,akademiji,akademijom,akademije,akademija,akademijama,akademija,akademije,akademijama,akademijama
akontacija,ženski,akontacije,akontaciji,akontaciju,akontacijo,akontaciji,akontacijom,akontacije,akontacija,akontacijama,akontacije,akontacije,akontacijama,akontacijama
akreditiv,muški,akreditiva,akreditivu,akreditiv,akreditive,akreditivu,akreditivom,akreditivi,akreditiva,akreditivima,akreditive,akreditivi,akreditivima,akreditivima
akrobacija,ženski,akrobacije,akrobaciji,akrobaciju,akrobacijo,akrobaciji,akrobacijom,akrobacije,akrobacija,akrobacijama,akrobacije,akrobacije,akrobacijama,akrobacijama
aktinolit,muški,aktinolita,aktinolitu,aktinolit,aktinolite,aktinolitu,aktinolitom,aktinoliti,aktinolita,aktinolitima,aktinolite,aktinoliti,aktinolitima,aktinolitima
aktiv,muški,aktiva,aktivu,aktiv,aktiv,aktivu,aktivom,aktivi,aktiva,aktivima,aktive,aktivi,aktivima,aktivima
aktivist,muški,aktivista,aktivistu,aktivista,aktiviste,aktivistu,aktivistom,aktivisti,aktivista,aktivistima,aktiviste,aktivisti,aktivistima,aktivistima
akuzativ,muški,akuzativa,akuzativu,akuzativ,akuzativ,akuzativu,akuzativom,akuzativi,akuzativa,akuzativima,akuzative,akuzativi,akuzativima,akuzativima
akvarij,muški,akvarija,akvariju,akvarij,akvariju,akvariju,akvarijem,akvariji,akvarija,akvarijima,akvarije,akvariji,akvarijima,akvarijima
ambulanta,ženski,ambulante,ambulanti,ambulantu,ambulanto,ambulanti,ambulantom,ambulante,ambulanti,ambulantama,ambulante,ambulante,ambulantama,ambulantama
alat,muški,alata,alatu,alat,alate,alatu,alatom,alati,alata,alatima,alate,alati,alatima,alatima
amblem,muški,amblema,amblemu,amblem,ambleme,amblemu,amblemom,amblemi,amblema,amblemima,ambleme,amblemi,amblemima,amblemima
Albanka,ženski,Albanke,Albanki,Albanke,Albanko,Albanki,Albankom,Albanke,Albanki,Albankama,Albanke,Albanke,Albankama,Albankama
alegorija,ženski,alegorije,alegoriji,alegoriju,alegorijo,alegoriji,alegorijom,alegorije,alegorija,alegorijama,alegorije,alegorije,alegorijama,alegorijama
alergija,ženski,alergije,alergiji,alergiju,alergijo,alergiji,alergijom,alergije,alergija,alergijama,alergije,alergije,alergijama,alergijama
aliteracija,ženski,aliteracije,aliteraciji,aliteraciju,aliteracijo,aliteraciji,aliteracijom,aliteracije,aliteracija,aliteracijama,aliteracije,aliteracije,aliteracijama,aliteracijama
alkoholičar,muški,alkoholičara,alkoholičaru,alkoholičara,alkoholičar,alkoholičaru,alkoholičarom,alkoholičari,alkoholičara,alkoholičarima,alkoholičare,alkoholičari,alkoholičarima,alkoholičarima
alkohol,muški,alkohola,alkoholu,alkohol,alkohole,alkoholu,alkoholom,alkoholi,alkohola,alkoholima,alkohole,alkoholi,alkoholima,alkoholima
alosterija,ženski,alosterije,alosteriji,alosteriju,alosterijo,alosteriji,alosterijom,alosterije,alosterija,alosterijama,alosterije,alosterije,alosterijama,alosterijama
aktivnost,ženski,aktivnosti,aktivnosti,aktivnost,aktivnosti,aktivnosti,aktivnošću,aktivnosti,aktivnosti,aktivnostima,aktivnosti,aktivnosti,aktivnostima,aktivnostima
abdikacija,ženski,abdikacije,abdikaciji,abdikaciju,abdikacijo,abdikaciji,abdikacijom,abdikacije,abdikacija,abdikacijama,abdikacije,abdikacije,abdikacijama,abdikacijama
akustika,ženski,akustike,akustici,akustiku,akustiko,akustici,akustikom,akustike,akustika,akustikama,akustike,akustike,akustikama,akustikama
abažur,muški,abažura,abažuru,abažur,abažure,abažuru,abažurom,abažuri,abažura,abažurima,abažure,abažuri,abažurima,abažurima
aluminij,muški,aluminija,aluminiju,aluminij,aluminiju,aluminiju,aluminijem,aluminiji,aluminija,aluminijima,aluminije,aluminiji,aluminijima,aluminijima
Amerika,ženski,Amerike,Americi,Ameriku,Ameriko,Americi,Amerikom,Amerike,Amerika,Amerikama,Amerike,Amerike,Amerikama,Amerikama
Amerikanac,muški,Amerikanca,Amerikancu,Amerikanca,Amerikanče,Amerikancu,Amerikancem,Amerikanci,Amerikanaca,Amerikancima,Amerikance,Amerikanci,Amerikancima,Amerikancima
Amerikanka,ženski,Amerikanke,Amerikanki,Amerikanku,Amerikanko,Amerikanki,Amerikankom,Amerikanke,Amerikanki,Amerikankama,Amerikankama,Amerikanke,Amerikankama,Amerikankama
amfibol,muški,amfibola,amfibolu,amfibol,amfibole,amfibolu,amfibolom,amfiboli,amfibola,amfibolima,amfibole,amfiboli,amfibolima,amfibolima
amfibolit,muški,amfibolita,amfibolitu,amfibolit,amfibolite,amfibolitu,amfibolitom,amfiboliti,amfibolita,amfibolitima,amfibolite,amfiboliti,amfibolitima,amfibolitima
anafora,ženski,anafore,anafori,anaforu,anaforo,anafori,anaforom,anafore,anafora,anaforama,anafore,anafore,anaforama,anaforama
Anaksagora,muški,Anaksagore,Anaksagori,Anaksagoru,Anaksagoro,Anaksagori,Anaksagorom,Anaksagore,Anaksagora,Anaksagorama,Anaksagore,Anaksagore,Anaksagorama,Anaksagorama
ananas,muški,ananasa,ananasu,ananasa,ananase,ananasu,ananasom,ananasi,ananasa,ananasima,ananasa,ananasi,ananasima,ananasima
anestezija,ženski,anestezije,anesteziji,anesteziju,anestezijo,anesteziji,anestezijom,anestezije,anestezija,anestezijama,anestezije,anestezije,anestezijama,anestezijama
anesteziologija,ženski,anesteziologije,anesteziologiji,anesteziologiju,anesteziologijo,anesteziologiji,anesteziologijom,anesteziologije,anesteziologija,anesteziologijama,anesteziologija,anesteziologije,anesteziologijama,anesteziologijama
andezit,muški,andezita,andezitu,andezit,andezite,andezitu,andezitom,andeziti,andezita,andezitima,andezite,andeziti,andezitima,andezitima
andradit,muški,andradita,andraditu,andradit,andradite,andraditu,andraditom,andraditi,andradita,andraditima,andradite,andraditi,andraditima,andraditima
